text,tweet_num,o4mini_label,4o_mini_label,llama_label,qwen_4b_label,o4mini_label_short,4o_mini_label_short,llama_label_short,qwen_4b_label_short,label,o4mini_drug_labels,4o_mini_drug_labels,llama_drug_labels,qwen_4b_drug_labels,found_index_terms,DEA_found_index_terms,pubchem_found_index_terms,GPT_found_index_terms,redmed_found_index_terms
"Link to watch NBA Game: Dallas Mavericks vs Utah Jazz stream in tweet below: 
Live NBA Streams Playoffs 2022 games #NBA #NBAPlayoffs #DALvsUTA

CLICK  ====v ;",16761,False,False,False,False,F,F,F,F,F,,,['other'],,[],[],[],[],[]
"Not yet been a month since my cousin Jason died from an overdose..
He was so talented. One of the best tattoo artists ever he was...",16843,False,False,False,True,T,F,F,T,T,,,['other'],,[],[],[],[],[]
Dessa droga me faltou uma dose pra ter overdose in my life game over doze game...🎶❤,16850,True,True,True,True,T,T,T,T,T,['other'],['other'],['other'],['other'],[],[],[],[],[]
"Every day I ask myself ""Why the fuck isn't Flinstones Chewable Morphine real?"" Because a lot of people could use something like it as the world is burning before our very eyes",16869,True,True,True,False,T,T,T,T,T,['Morphine'],['Morphine'],['Morphine'],['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
I guess you can't just order morphine at the hospital,16960,False,False,True,False,T,F,T,F,T,['Morphine'],['Morphine'],['Morphine'],['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"There is no #access to #health without access to #essential #medicines,  including #morphine and other controlled substances.  #PalliativeCare #pain #mentalhealth #equity",16964,False,False,False,False,F,F,F,F,T,['Morphine'],['Morphine'],"['Morphine', 'other']",['Morphine'],"['methamphetamine', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine']
"""Let me get a salad with croutons and umm codeine dressing""",17031,True,True,False,False,T,T,T,F,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"A3: Lack of affordable treatment + punitive policies result in severe illness, job loss, and racial disparities in outcomes. Overdose deaths are at their highest ever + the pandemic is exacerbating treatment shortages #WellnessWed",17147,False,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
Get your today!!! Sharing is caring🌱🌿🙏 Cannabis Review Journal,17154,True,False,True,False,T,T,T,F,F,['Marijuana'],,['CBD'],['Marijuana'],[],[],[],[],[]
NFTs and cannabis are 2 disruptive industries... It's time to bring them together...,17173,True,False,False,False,T,F,F,F,F,['Marijuana'],,['other'],['Marijuana'],[],[],[],[],[]
"A drug dealer covering up a child murder due to his illegal money laundering care home! Controlling housing in a council! And paying retards to attack me! Stabbing attempts, abuse, online accounts hacked, bank card cloned! Why housing are assisting abuse!",17184,False,False,True,True,T,T,F,T,T,['other'],,['other'],['other'],[],[],[],[],[]
"No paracetamol should be banned, a non reversible drug in overdose causing multi organ failure sold OTC",17218,False,False,False,False,F,F,F,F,T,['other'],,['other'],['other'],['benzoylecgonine'],[],[],[],[]
"REPORTS: Cowboys' Rolando McClain 10-game suspension is for drinking the opiate mix ""purple drank"" which includes cough syrup & codeine.",17226,True,True,True,True,T,T,F,T,T,"['other', 'Codeine']",['Codeine'],['Codeine'],['Codeine'],"['codeine', 'methadone']","['methamphetamine', 'codeine']",['codeine'],['codeine'],['codeine']
People shoot meth and heroin in front of their kids so why not,17256,True,True,True,True,T,T,T,T,T,"['other', 'Methamphetamine']","['Heroin', 'Methamphetamine']","['Morphine', 'Methamphetamine']","['Heroin', 'Methamphetamine']",['methamphetamine'],['methamphetamine'],['methamphetamine'],['methamphetamine'],['methamphetamine']
#ICYMI: Great Neck man sentenced to prison after providing heroin in two overdose deaths in Queens: DA,17355,True,True,True,True,T,T,F,T,T,['other'],['other'],['Heroin'],['other'],[],[],[],[],[]
"Now do all the years Johnny Depp was using heroin and opioids?
You know ...for continuity.",17367,True,True,True,False,T,T,F,T,T,['other'],['other'],['other'],['other'],['oxycodone'],[],[],['hydrocodone'],[]
"*takes an ambien, 5 valium & 2 codeine...

[generations later]

*rubs cobwebs from eyes

What year is it ?",17568,True,True,True,True,T,T,T,T,T,"['Zolpidem', 'other', 'Codeine']","['Zolpidem', 'other', 'Codeine']","['Zolpidem', 'Diazepam', 'Codeine']","['Zolpidem', 'Bromazolam', 'Codeine']","['codeine', 'zolpidem']",['codeine'],['codeine'],['codeine'],"['codeine', 'zolpidem']"
"The pre-owned market is coming of age, says the CEO and founder of London-based dealer A Collected Man, Silas Walton.",17569,False,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
"I can't stay on your morphine
'Cause it's making me itch (8)",17649,False,True,True,False,T,T,T,T,T,['Morphine'],['Morphine'],['Morphine'],['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"Vair kind, but I'd prefer some codeine & a bit of a sleep m'darkling.",17805,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],"['Codeine', 'CBD']",['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
Back to Willett distillery for tonight's fresh crack.  Old Bardstown Bottled in Bond.,17952,False,False,True,True,F,F,T,T,F,['other'],['other'],['other'],['other'],[],[],[],[],[]
"Sources: Codeine addiction, NFL drug policy cloud LB Rolando McClain's future with Cowboys",17992,True,True,True,True,F,F,F,T,T,['Codeine'],,['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
People don't understand the insanity that was DNA Jimin and Tae. Like people including me who never cared for kpop back then saw a glance of vmin and it was like drinking crack laced coke back in the day. I didn't think they were real when I watched the mv😭,18047,False,False,True,True,F,F,T,T,F,['other'],['other'],['Coke'],['other'],[],[],[],[],[]
"Probably took a lot of drugs.
Methamphetamine
Morphine
Etc",18077,True,True,True,True,T,T,T,T,T,"['Morphine', 'Methamphetamine']","['Morphine', 'other', 'Methamphetamine']","['Morphine', 'other', 'Methamphetamine']","['Morphine', 'other', 'Methamphetamine']","['methamphetamine', 'morphine']","['methamphetamine', 'morphine']","['methamphetamine', 'morphine']","['methamphetamine', 'morphine']","['methamphetamine', 'morphine']"
I'll let you know soon. I prob won't crack it open for a few days or a week. We have guests arriving on the 8th! :D,18170,False,False,False,False,F,F,F,F,F,,,['other'],['Cocaine'],[],[],[],[],[]
"Apparently FV casted her to be the ""heroin"" of  every story WATCH Carly will be the one who will knock out Harmony & save Alexis from getting killed",18200,False,False,True,True,F,T,F,F,F,['other'],['other'],['other'],['other'],[],[],[],[],[]
Kittery adult-use marijuana shop at the Outlet Mall receives Planning Board approval,18275,False,False,False,False,F,F,F,F,T,['Marijuana'],,"['Marijuana', 'CBD']",['Marijuana'],[],[],[],[],[]
"I say everything Triple Times
333..... — listening to Codeine Crazy [Prod. by TM-88]",18381,True,True,True,True,F,T,T,T,F,['Codeine'],['Codeine'],['Codeine'],['Codeine'],"['fentanyl', 'codeine']","['fentanyl', 'codeine']",['codeine'],['codeine'],['codeine']
#NCB found someone's #son but why would is surprised as #wife is a full high all time and #dealer big fish 🎣 and #NCB staff 🤳 with celebrity,18409,True,True,True,True,T,T,T,T,T,,['other'],['other'],['other'],[],[],[],[],[]
"I actually wanted to say I changed my mind and I wanted to swap Snowbirds for the very next issue, the second part of the Speedy on heroin arc…

…but now I actually can't decide which of those two I like best.

So it might actually be a four-way tie.",18415,False,False,True,False,F,F,F,T,T,['other'],,['other'],"['Amphetamine', 'Heroin', 'other']",['amphetamine'],[],[],['amphetamine'],[]
If u can't bring nothing to the table i don't want nothing with you ✌,18495,False,False,False,False,F,F,F,F,F,,,['other'],,['methamphetamine'],['methamphetamine'],[],[],[]
Him and Davison getting arrested over this Kinahan shit would be tremendous. They'd both grass in a heartbeat. Davison would be first to crack.,18624,False,False,False,True,F,F,T,T,F,,,['other'],['other'],['delta-9-thc-cooh'],['delta-9-thc-cooh'],[],[],[]
Suit Claims Cephalon's Actiq Is Fatal to Teeth | BNET Pharma Blog | BNET:,18646,False,False,False,False,F,F,F,F,T,['Fentanyl'],,['other'],['other'],['fentanyl'],[],[],['fentanyl'],['fentanyl']
"I got morphine in the hospital and I was so out of it, having sepsis and renal failure, that it just didn't feel like anything. Except for when they tried to put a tube up my nose to my stomach, which I refused. They just carted me in.",18649,False,False,False,False,F,F,F,F,T,['Morphine'],['Morphine'],"['Morphine', 'other']",['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"Mom 'forced son, 6, to overdose on meth, cocaine and other drugs so she could collect $100,000 insurance payout'",18697,True,True,True,True,T,T,F,T,T,"['other', 'Methamphetamine']","['Cocaine', 'other', 'Methamphetamine']","['Cocaine', 'other', 'Methamphetamine']","['Benzoylecgonine', 'other', 'Methamphetamine']",['methamphetamine'],['methamphetamine'],['methamphetamine'],['methamphetamine'],['methamphetamine']
"2) Drug overdose. Opioids affect your breathing. When you take too high a dose, it can slow down your breathing to the point that your body does not take in enough oxygen.",18771,False,False,False,False,F,F,F,F,T,['other'],,['Opioids'],['other'],['oxycodone'],[],[],['hydrocodone'],[]
"tw// drugs

MORPHINE?? I CALL THIS LADY AND SHE GOES ""LET ME PRESCRIBE U A COUPLE TABLETS OF MORPHINE"" LIKE OKAY UM THANKS???",18900,False,True,True,False,F,T,T,T,T,['Morphine'],"['Morphine', 'other']","['Morphine', 'other']","['Morphine', 'other']",['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
crazy how people really considered doing heroin... AND DID IT.,18922,True,True,True,True,T,T,T,T,T,['other'],['other'],['Heroin'],['other'],['fentanyl'],['fentanyl'],[],[],[]
I'll be friends with a nigga who deals CRACK before I'm friends with a fent dealer,18943,True,True,True,True,T,T,T,T,T,"['Fentanyl', 'other']","['Fentanyl', 'other']",['other'],"['Fentanyl', 'other']",['fentanyl'],['fentanyl'],[],['fentanyl'],[]
It's crazy that heroin in all forms is legal now,19013,True,True,False,False,F,F,T,F,T,['other'],['other'],['other'],['other'],['fentanyl'],['fentanyl'],[],[],[]
what does one wear to an industry (budtender) appreciation event hosted by a cannabis brand (timeless),19123,False,True,False,False,F,F,T,F,T,['Marijuana'],,['CBD'],['Marijuana'],[],[],[],[],[]
So first getting a vaccine is more important than going to the ER for a heart attack??? Or do you have data that stopping heroin use is less beneficial than getting a vaccine?,19202,False,True,False,False,F,T,F,T,T,['other'],,['other'],['other'],[],[],[],[],[]
"They say scrap NASS that provide checks for executive recklessness but give PMB special power, too much codeine is dangerous to reasoning",19214,False,False,True,False,F,F,F,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
Effect of Sustained-Release Morphine on Patients With COPD and Refractory Breathlessness,19248,False,False,False,False,F,F,F,F,T,['Morphine'],,['Morphine'],['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
my first ever photocard was Suho from their overdose album which is 6 years ago omg i feel so old kahit 18 palang ako..... when it comes to girlgroup is Apink's Hayoung pc from Une Annee and yes I am a pink panda up until now and i miss my og girlies!,19284,False,False,False,False,F,F,F,F,F,,,['other'],['other'],[],[],[],[],[]
"Cannabis Business Association of Illinois executive director Pamela Althoff summed up the state of the state's legal recreational-use cannabis industry in one word: ""Halted.""",19314,False,False,False,False,F,F,F,F,T,['Marijuana'],,['other'],['Marijuana'],[],[],[],[],[]
The market had already been on hospice for months; the Russia/Ukraine situation is just the morphine to help speed up the process.,19374,False,False,True,True,F,F,F,F,T,['Morphine'],['Morphine'],['Morphine'],['Morphine'],"['methamphetamine', 'morphine']","['methamphetamine', 'morphine']","['methamphetamine', 'morphine']",['morphine'],['morphine']
"Yes- totally with you. Managing pain since March has taken its toll on all of us. I'm starting to imagine what a 'Long COVID blow out party' might look like? Zero gravity recliners, classical music, pain killers & morphine.",19376,True,True,True,True,T,T,T,T,F,"['Morphine', 'other']","['Morphine', 'other']","['Morphine', 'other']","['Morphine', 'other']","['oxymorphone', 'morphine']","['morphine', 'oxycodone']",['morphine'],"['oxymorphone', 'morphine']",['morphine']
"so an overdose and a heart attack wasn't good enough apparently. Gotta give the bastard covid too. 

Christ, DMX. i wanna think you'll be fine, but.... WOW.",19413,True,False,False,False,T,F,F,T,F,,,['other'],,[],[],[],[],[]
Over here in the ER high asf off of morphine.... 😊,19466,True,True,True,False,T,T,T,T,T,['Morphine'],"['Morphine', 'other']",['Morphine'],['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"""Put codeine on a salad"" -Two Chains      Most ignant lyric of 2016",19485,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"PARENTS SWITCH FROM DEADLY CARCINOGENIC HARMFUL DRUGS LIKE ALCOHOL WHICH CAUSES SO MUCH HARM AND VIOLENCE, OVER TO SAFE MEDICINAL DRUG IN CANNABIS 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸😎",19764,True,False,True,False,T,F,F,F,T,"['other', 'Marijuana']",['Marijuana'],['CBD'],"['other', 'Marijuana']",['methamphetamine'],[],[],[],[]
It burns when i pee that's how i know my D is hot 🔥,19846,False,False,False,False,F,T,T,T,T,,,['other'],['other'],[],[],[],[],[]
It's similar to the Halloween urban legend that people are putting drugs in sweets to give to kids completely ignoring that making heroin gummy bears is a lot of hassle and not worth it.,19894,False,False,False,False,T,F,F,F,T,['other'],,"['Heroin', 'other']",['other'],"['delta-9-thc-cooh', 'mdma']","['delta-9-thc-cooh', 'mdma']",[],[],[]
Get me a caesar's salad wif croutons and codeine dressing. Oh and a diet codeine. #DanielSonNecklaceDon,19921,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
Bella Thorne in her alleged heroin addict era or Dasha.,19959,True,True,True,False,T,T,T,T,T,['other'],['other'],['Heroin'],['other'],[],[],[],[],[]
Vote Up Loudiene - Codeine & Crablegs Hosted by DJ Scream,19960,True,True,True,True,T,T,T,T,F,['Codeine'],"['other', 'Codeine']","['other', 'Codeine']","['other', 'Codeine']",['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"Coming from my con sketching experience, I thrive at doing something different rather than drawing Harley Quinn and Deadpool over and over again. I want to give fellow artists that chance to draw something they're not used to or been dying to take a crack at.",20192,False,False,False,False,F,F,F,F,T,,,,,[],[],[],[],[]
I knew he was smoking crack just like the idiots being happy about this shit 😑🤡,20297,True,True,True,True,T,T,T,T,T,['other'],['other'],['Cocaine'],['other'],[],[],[],[],[]
"Codeine crazy, codeine crazy
All this motherfucking money got me going codeine crazy",20328,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],"['fentanyl', 'codeine']","['fentanyl', 'codeine']",['codeine'],['codeine'],['codeine']
Ice Cream by Paradise Seeds - #legal #cannabis seeds amsterdam --,20454,True,False,False,False,T,F,F,F,T,['Marijuana'],,['CBD'],['Marijuana'],['methamphetamine'],['methamphetamine'],[],['methamphetamine'],[]
If you don't like codeine crazy by future your not a true fan. I can't never skip that song,20515,False,False,True,True,F,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],"['fentanyl', 'codeine']","['fentanyl', 'codeine']",['codeine'],['codeine'],['codeine']
"I saw the thing about PlayStation having demos on the highest tier of psplus and I'm shaking my head, remember when demos used to be fucking free? X3",20802,False,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
THIS is LITERALLY my favorite song and will forever be 😩💕💕 forget my other favs Codeine Crazy permanent 😂💜,20829,False,True,True,True,F,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],"['fentanyl', 'codeine']","['fentanyl', 'codeine']",['codeine'],['codeine'],['codeine']
okay But the death that hit me Hardest was definitely Prince :( that one is Incredibly sad. the way he was publicly So against drugs but he died of an overdose,20867,False,False,True,False,F,F,T,T,T,['other'],,['other'],['other'],[],[],[],[],[]
That's great just what we need more people high dumbed down on roads and at places of work. Just love the direction this country and world is going in.,20878,False,False,True,True,F,F,F,T,T,,,['other'],['other'],[],[],[],[],[]
"Codeine got me movin @ a turtle pace I show love idk why niggas hate #AllThatHating ‼️
1k plays already ‼️👟💩
GO LISTEN",21017,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"— 

kisuke into the world of the living. 

thought process was cut short when the male decided to crack a joke. her hand balled up into a fist. 

""I was not referring myself to a gremlin but I can show you how one would treat old shopkeepers."" 

opting to be kind, she flicked —",21028,False,False,False,False,F,F,F,F,F,,,['other'],,[],[],[],[],[]
"Happy 4/20. Blaze it, then fork over some dough to  to help get folks imprisoned on cannabis-related charges clemency and rebuild their lives",21175,True,True,True,True,T,T,F,T,T,['Marijuana'],,['Cannabidiol'],['Marijuana'],[],[],[],[],[]
"And concurrently, educate all Americans (including doctors) on the human body's Endocannabinoid system and how cannabis works medicinally and helping to treat certain cancers while having no toxic effect on healthy cells.",21254,False,False,False,False,F,F,F,F,T,['Marijuana'],,['CBD'],['Marijuana'],[],[],[],[],[]
"Report: Rolando McClain struggling with codeine addiction, has gained 40 pounds Bad News #RTR 🅰",21267,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"This reminds me of the crack epidemic. There's a good documentary on Netflix about how the government was allowing it into the country for….money. *GASP* 

It's called Crack: Cocaine, Corruption, and Conspiracy. It's a good watch.

Fentanyl is the new crack. Fight me.",21352,True,True,True,True,F,F,F,F,T,"['Fentanyl', 'other']","['Fentanyl', 'other']","['Fentanyl', 'other']","['Fentanyl', 'other']",['fentanyl'],['fentanyl'],['fentanyl'],['fentanyl'],['fentanyl']
"They balanced it by trying to offer free crack pipes, remember?",21376,True,True,True,True,T,T,T,T,F,['other'],['other'],['other'],['other'],[],[],[],[],[]
I'm like ma'am please give me all the Oxy and Morphine. Fuck that Tylenol lol.,21478,True,True,True,True,T,T,T,T,T,"['Morphine', 'Oxycodone', 'other']","['Morphine', 'Oxycodone', 'other']","['Morphine', 'Oxycodone', 'other']","['Morphine', 'Oxycodone', 'other']","['morphine', 'oxycodone']","['morphine', 'oxycodone']",['morphine'],"['morphine', 'oxycodone']",['morphine']
Forensic pathologist ruled out drug overdose as Floyd's cause of death,21488,False,False,False,False,F,F,F,F,T,,,['other'],['other'],[],[],[],[],[]
"Thank you 💗. You too. 
I'm about to take some morphine & move my sorry little vaudeville to the guest bedroom. 😁 I hope you get some relief today.",21686,False,True,True,False,F,T,T,F,F,['Morphine'],['Morphine'],"['Morphine', 'other']",['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
Kidney stone pain has been compared to child birth pain.  I handled kidney stone pain really well.  I went to the emergency room at the hospital and begged for morphine IVs.😂😂😂😂,21770,False,True,False,False,F,F,F,F,T,['Morphine'],['Morphine'],['Morphine'],['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"Hundreds get card for clinical cannabis, even while it's not for sale in #Missouri nevertheless",21864,False,False,False,False,F,F,F,F,T,['Marijuana'],,['CBD'],['Marijuana'],[],[],[],[],[]
Had a super dope time at Locrate earlier today and got to see a lot of my buddies .... Now to get to my Benelyin with Codeine,21924,True,True,True,True,T,T,T,T,T,"['other', 'Codeine']","['other', 'Codeine']",['Codeine'],"['other', 'Codeine']",['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
codeine crazy is one of my favorite future songs 🙌🏽,21958,False,False,True,False,F,F,F,F,F,['Codeine'],['Codeine'],['Codeine'],"['other', 'Codeine']","['fentanyl', 'codeine']","['fentanyl', 'codeine']",['codeine'],['codeine'],['codeine']
just found out cheese addiction is very real because cheese has morphine like compounds wtf,21998,False,False,True,False,F,F,F,F,T,['Morphine'],['Morphine'],['Morphine'],['other'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"When a girl has Codeine snaps at night then snaps of her kids soccer game in the morning, it's like wtf.. Parenting 101 or..?🤔😂 #PoorKids",22038,True,True,False,False,T,T,F,T,T,['Codeine'],"['other', 'Codeine']",['Codeine'],"['other', 'Codeine']","['fentanyl', 'codeine']","['fentanyl', 'codeine']",['codeine'],['codeine'],['codeine']
Exactly.....pupils go pinpoint with an opioid overdose. They'd know.,22069,False,False,True,False,F,F,T,T,T,['other'],['other'],"['Opioid', 'other']",['other'],['hydrocodone'],[],[],['hydrocodone'],[]
"50 Kg Heroin, Rs 30 Lakh Cash Seized From Delhi's Shaheen Bagh
*Read More* 👇",22132,True,True,True,True,T,T,T,T,T,['other'],['other'],['Heroin'],"['Heroin', 'other']",[],[],[],[],[]
"If you substitute crystal meth for green eggs and ham, suddenly Dr. Seuss' classic is about a drug dealer hooking a new customer.",22158,True,True,True,True,T,T,T,T,T,['Methamphetamine'],['Methamphetamine'],"['other', 'Methamphetamine']",['Methamphetamine'],"['methamphetamine', 'ketamine']","['methamphetamine', 'ketamine']",['methamphetamine'],['methamphetamine'],['methamphetamine']
"""I just took a piss and I seen codeine coming out""",22171,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
You're looking at these guys as if they are All-Big 12 players when you look around the league all 5 who have transfered wouldn't crack a starting lineup on any other roster in the Big 12. These guys aren't program changers by any stretch,22226,False,False,False,False,F,F,F,F,F,,,,,[],[],[],[],[]
"For suicides, the 20% increase in overdose deaths might be masking the real numbers.",22311,True,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
"US novelist, Paul Auster's son Daniel dies of drug overdose while awaiting trial for killing baby daughter with heroin and fentanyl",22312,True,True,True,True,T,F,T,T,T,"['Fentanyl', 'other']","['Fentanyl', 'Heroin', 'other']","['Heroin', 'Fentanyl']","['Morphine', 'Fentanyl']",['fentanyl'],['fentanyl'],['fentanyl'],['fentanyl'],['fentanyl']
"THEN those same just reward of holders leaving everyone else out of future projects. 
This is antithetical to crypto where everyone has a shot. NFTs will surely undergo a complete revamp in the next few years to shed this toxic shell",22358,False,False,False,False,F,F,F,F,F,,,['other'],,['methamphetamine'],['methamphetamine'],[],[],[]
Any dealer will show you how much of an addict you really are by testing your patience… If you know you know.🙃,22487,True,True,True,True,T,T,T,F,T,,['other'],['other'],,[],[],[],[],[]
"today it was finding out she used a loop of some russian kids supposedly overdosing on heroin for a now deleted music video from Was it weird i listened to ""i'm god"" by clams Casino when i lost my virginity""",22523,True,False,True,True,F,F,T,T,F,['other'],['other'],['other'],['other'],[],[],[],[],[]
"….let me get this right…

So he's saying that fentanyl just hit Ohio in 2021? Wow. 

Did meth just get there also? 

What about heroin?",22588,False,False,False,False,F,T,F,F,F,"['Fentanyl', 'Methamphetamine', 'other']","['Heroin', 'Fentanyl', 'Methamphetamine']","['Heroin', 'Fentanyl', 'Methamphetamine']","['Fentanyl', 'Methamphetamine', 'other']","['fentanyl', 'methamphetamine']","['fentanyl', 'methamphetamine']","['fentanyl', 'methamphetamine']","['fentanyl', 'methamphetamine']","['fentanyl', 'methamphetamine']"
"Is that what I'm doing? I just like cracking jokes, at least that's my intent, maybe it looks like sad trolling because you presume that is my intention. My only intention online, other than cases of actual serious conversation/debate, is to crack jokes and make myself laugh.",22637,False,False,False,False,F,F,F,F,F,,,['other'],,[],[],[],[],[]
The International Cannabis Conversation - NEW SHOW - The International Cannabis Conversation is live on,22677,False,False,False,False,F,F,F,F,T,['Marijuana'],,['Cannabis'],['Marijuana'],[],[],[],[],[]
what steps do I need to take to bring a class action suit against our Federal Government for misappropriation of our tax funds. Such as the millions for the Steele dossier. 30 million for (illegal contraband) such as free crack pipes. I'm sure the list is long.,22788,False,False,True,False,F,F,F,T,F,['other'],['other'],['other'],['other'],[],[],[],[],[]
"Update (for those of you playing along at home)

So far, in the effort to turn my life around,
I/we have:
3 yrs and 3 mos off heroin
3 digitally released albums
The first 7 live lone wooF shows.
Temporary housing thanks to my oldest friend.
A real life.
Hope.
My twitter family🥰",23053,False,False,False,True,F,F,F,T,F,['other'],,['other'],['other'],['morphine'],[],[],['morphine'],[]
I don't he's the reason we lived through the crack Era,23226,False,True,True,True,F,T,F,T,F,['other'],['other'],['other'],['other'],[],[],[],[],[]
I agree. As much as it would be fun to get into the #Playoffs The Blades took QPR apart tonight. Their will to win & set pieces were  standard. They deserve a crack at the PL. Quite frankly we've been punching above our weight since CW arrived. #UTB,23322,False,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
Source? Cuz everything I read says he had a heart attack because of an overdose. Which means the overdose killed him,23446,True,True,True,False,F,T,T,T,T,,,['other'],['other'],[],[],[],[],[]
"Elon Musk told banks that agreed to help fund his $44 billion acquisition of Twitter that he could crack down on executive and board pay in a push to slash costs, and would develop new ways to monetize tweets",23473,False,False,False,False,F,F,F,F,F,,,,,['psilocybin'],['psilocybin'],[],[],[]
did baekho lace bamsae with crack its so addicting 😭😭,23490,True,True,True,True,T,T,T,T,T,['other'],['other'],['other'],['other'],[],[],[],[],[]
So Chauvin's defense team is just leaving ajar the door to the possibility that George Floyd died of a drug overdose...while Chauvin's knee was asphyxiating him. You really can only play the cards you're dealt...,23497,False,False,False,False,F,F,F,F,T,,,['other'],['other'],[],[],[],[],[]
"lol you're the one who said they don't crack 20 likes and you brought it up, not me 🚶‍♂️",23805,False,False,False,False,F,F,F,T,F,,,['other'],['other'],[],[],[],[],[]
"«(...) long-term cannabis users had an intelligence quotient (IQ) decline from age 18 to midlife (mean 5.5 IQ points), poorer learning and processing speed compared to childhood, and self-reported memory and attention problems».",23807,False,False,False,False,F,F,F,F,T,['Marijuana'],,['CBD'],['Marijuana'],['methamphetamine'],['methamphetamine'],['methamphetamine'],[],[]
"I'd also like to point out both medical examiners that performed two separate autopsies confirmed Floyd did not die of an overdose. The medical report and the interviews are both out there for people to see. But yknow, fall into the ""push the narrative"" trap.",23819,False,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
The corners report said a reasonable conclusion would be a drug overdose.  And intent is a component to the murder charge.,23897,False,False,False,False,F,F,F,T,T,,,['other'],,[],[],[],[],[]
"Adults can't purchase heroin for themselves without going to prison or can't chop off their own limbs without being committed. Same thing here. Mental illness needs to be treated, not held up as normal.",23906,False,False,False,True,T,F,F,T,T,['other'],,['other'],['other'],[],[],[],[],[]
How about the drug addicts? When they overdose we shouldn't try and save their life? What kind of sense does that make? The unvaccinated will probably be the ones who will make it safe and sound once we figure out the real story behind this coronacircus. I won't speculate but 🤔!,23988,False,False,True,False,F,F,F,T,T,,,['other'],['other'],[],[],[],[],[]
Police struggle to get loaded AK-47 out of 10-year-old's hands in chaotic overdose investigation,24016,True,True,True,False,T,F,F,T,T,,,['other'],,[],[],[],[],[]
If alcohol can be legal then so should cannabis. Alcohol if far more harmful to the body and minds. Cannabis can add so much more to the economy and help so many people,24032,False,False,False,False,F,F,F,F,T,"['other', 'Marijuana']",,['other'],"['other', 'Marijuana']",[],[],[],[],[]
"idiot

Teenage drug dealer hid 58 wraps of heroin internally to outwit police",24052,True,True,True,True,T,T,T,T,T,['other'],"['Heroin', 'other']",['Heroin'],['other'],[],[],[],[],[]
That proves alot. Nelson case is he died of overdose not the knee. The witness just stated there was less than 1% fentenyl in the tablet. If you read the toxicology report it states he had 11ng/ml in his blood. To die of fentenyl overdose you need more than 34ng/ml. Case closed,24077,True,False,False,False,F,F,T,T,T,['Fentanyl'],['Fentanyl'],['Fentanyl'],"['Fentanyl', 'other']",['fentanyl'],[],[],['fentanyl'],['fentanyl']
Try his friend who was in the passenger seat who sold him the drugs. He is responsible for George Floyd's overdose.,24261,True,True,True,True,T,T,T,T,T,['other'],['other'],['other'],['other'],[],[],[],[],[]
